ID,Day,Date,Time,Latitude,Longitude,DepthInKilo,Magnitude,Quality,DistanceInKilo,Direction,Volcano
2,Friday,7/10/2016,17:49:09,63.818,-22.983,6.6,1.2,87.97,8.6,N,Eldey
3,Friday,7/10/2016,14:22:17,63.722,-23.131,10,1.8,99,4.7,NE,Geirfuglasker
4,Friday,7/10/2016,14:00:05,63.729,-23.14,10.2,1.7,99,4.9,NE,Geirfuglasker
5,Friday,7/10/2016,13:57:50,63.733,-23.128,12.7,1.5,99,5.6,NE,Geirfuglasker
6,Friday,7/10/2016,13:41:38,66.28,-16.999,6.6,0.9,99,24.6,W,Kópasker
7,Friday,7/10/2016,13:38:41,66.24,-16.666,4.5,0.7,99,11.8,SW,Kópasker
8,Friday,7/10/2016,13:38:22,66.881,-16.779,5.2,0.7,31.58,65.9,NE,Grímsey
9,Friday,7/10/2016,12:34:57,64.526,-17.381,1.1,0.8,99,14.4,NNW,Grímsfjall
10,Friday,7/10/2016,12:33:18,64.635,-17.514,4.1,1.8,99,0.8,SE,Bárðarbunga
11,Friday,7/10/2016,11:49:13,64.649,-17.472,4.4,1.2,99,2.8,ENE,Bárðarbunga
12,Friday,7/10/2016,11:48:51,64.631,-17.519,3.1,1.7,99,1.1,SSE,Bárðarbunga
13,Friday,7/10/2016,11:25:41,63.621,-19.112,1,1,99,4.5,N,Hábunga
14,Friday,7/10/2016,9:41:02,66.288,-17.556,13.3,0.6,99,18.6,NE,Flatey
15,Friday,7/10/2016,9:32:39,65.723,-16.811,5.8,0.6,99,2.8,WNW,Krafluvirkjun
16,Friday,7/10/2016,7:36:28,63.62,-19.108,0.1,1,99,4.4,N,Hábunga
17,Friday,7/10/2016,6:48:05,63.89,-22.208,7.4,1,99,3.5,ESE,Fagradalsfjall
18,Friday,7/10/2016,5:21:20,66.279,-17.524,13.2,0.5,99,18.9,NE,Flatey
19,Friday,7/10/2016,4:52:43,63.621,-19.104,0.1,1,99,4.5,N,Hábunga
20,Friday,7/10/2016,4:40:49,66.243,-18.382,7,1,99,9.3,NW,Gjögurtá
21,Friday,7/10/2016,4:30:20,63.623,-19.093,0.1,2,99,4.8,N,Hábunga
22,Friday,7/10/2016,4:28:42,64.608,-17.519,2.6,0.9,99,3.6,S,Bárðarbunga
23,Friday,7/10/2016,4:22:24,64.624,-17.509,2.9,1.6,99,2,SSE,Bárðarbunga
24,Friday,7/10/2016,3:07:20,63.642,-19.105,0.1,0.9,99,6.9,N,Hábunga
25,Friday,7/10/2016,2:52:21,66.827,-18.375,10,1.5,99,35.5,NNW,Grímsey
26,Friday,7/10/2016,0:45:42,63.629,-19.111,0.1,0.7,99,5.5,N,Hábunga
27,Friday,7/10/2016,0:11:37,63.618,-19.141,0.6,1.4,99,4.7,NNW,Eyjafjallajökull
28,Friday,7/10/2016,23:36:02,66.28,-16.993,7.3,1,99,24.3,W,Kópasker
29,Friday,7/10/2016,23:35:14,66.646,-17.93,11.9,1.4,99,12.1,NNE,Grímsey
30,Friday,7/10/2016,23:30:41,63.952,-20.967,5.1,0.4,99,2.4,NE,Selfoss
31,Friday,7/10/2016,23:15:38,66.336,-16.959,9.4,0.6,99,22.9,W,Kópasker
32,Friday,7/10/2016,22:58:28,66.638,-17.867,9.1,0.6,99,12.4,NNE,Grímsey
33,Friday,7/10/2016,22:15:13,65.015,-16.698,2.8,0.1,99,5.1,WSW,Dreki
34,Friday,7/10/2016,17:53:16,63.995,-20.172,7.8,0.9,99,6.6,SE,Árnes
35,Friday,7/10/2016,17:49:09,63.813,-22.964,8.2,1.7,99,8,N,Eldey
36,Friday,7/10/2016,17:46:49,65.709,-16.815,2.6,0.6,99,2.7,W,Krafluvirkjun
37,Friday,7/10/2016,16:04:47,66.28,-16.997,5.7,0.7,99,24.5,W,Kópasker
38,Friday,7/10/2016,14:25:45,64.826,-16.86,7.8,0.1,99,17.2,ENE,Kistufell
39,Friday,7/10/2016,14:25:12,66.277,-16.998,9.4,0.7,99,24.6,W,Kópasker
40,Friday,7/10/2016,14:22:17,63.722,-23.131,10,1.8,99,4.7,NE,Geirfuglasker
41,Friday,7/10/2016,14:00:05,63.729,-23.14,10.2,1.7,99,4.9,NE,Geirfuglasker
42,Friday,7/10/2016,13:57:50,63.733,-23.128,12.7,1.5,99,5.6,NE,Geirfuglasker
43,Friday,7/10/2016,13:41:38,66.28,-16.999,6.6,0.9,99,24.6,W,Kópasker
44,Friday,7/10/2016,13:38:41,66.24,-16.666,4.5,0.7,99,11.8,SW,Kópasker
45,Friday,7/10/2016,13:38:22,66.881,-16.779,5.2,0.7,31.58,65.9,NE,Grímsey
46,Friday,7/10/2016,12:34:57,64.526,-17.381,1.1,0.8,99,14.4,NNW,Grímsfjall
47,Friday,7/10/2016,12:33:18,64.635,-17.514,4.1,1.8,99,0.8,SE,Bárðarbunga
